"GSM6160812","GSM6160813","GSM6160814","GSM6160821","GSM6160822","GSM6160823"
8,11,9,10,6,6
329,377,345,350,324,317
5,7,2,6,6,7
1,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
54,53,53,33,39,32
54,62,54,36,41,34
18,22,25,18,14,19
397,404,403,374,397,359
4,2,3,4,4,5
0,2,0,0,2,0
4,9,6,6,7,3
0,1,0,0,0,0
91,88,72,62,74,51
0,0,0,0,0,0
0,0,0,0,0,0
18659,20997,22607,14947,18583,17549
3,3,3,1,1,2
153,144,128,117,127,100
31,39,25,13,26,29
55,35,25,31,28,23
4,5,2,3,0,4
41,45,43,30,31,32
7,15,11,11,19,21
2,1,3,1,3,4
22,15,14,38,37,28
429,465,467,418,439,470
0,0,0,0,0,0
3,5,4,3,3,6
111,125,116,61,91,70
180,174,152,221,222,254
204,244,168,388,393,380
1254,1442,1385,2256,2314,2127
4242,4411,4260,4542,4534,4328
496,471,481,445,410,385
236,256,251,541,525,490
35,44,34,124,80,111
442,504,412,601,538,540
1690,1832,1842,2151,1982,1928
13643,13831,12729,10738,11195,9914
45,64,45,126,131,121
15,17,22,32,36,30
54,55,46,122,114,99
7,5,7,9,10,10
524,575,513,512,555,416
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,4,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,2,2
0,0,2,2,3,3
4774,5171,5180,4993,5437,4781
996,1242,1279,1153,1109,1116
13,12,20,14,7,14
1390,1411,1593,1614,1520,1489
49,53,41,17,39,31
160,158,162,86,92,65
1467,1524,1545,1137,1174,979
1,1,0,0,2,0
5,6,4,2,2,1
439,405,431,480,419,418
1988,2134,2209,2004,2012,1841
1,3,3,1,4,1
926,967,969,1172,1137,1018
70,38,40,47,62,59
2258,2266,2294,3917,3658,3365
3,3,3,4,4,6
194,197,184,294,235,254
2770,3023,3054,2771,2856,2513
2879,2937,2843,2747,2882,2772
536,578,574,526,536,556
1775,1863,1950,1745,1802,1723
0,0,2,0,0,0
0,4,2,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
1,4,3,4,4,3
2,0,1,6,4,1
1094,1165,1080,1027,963,884
31,31,33,33,31,32
181,208,205,173,232,188
1252,1292,1180,1265,1439,1179
6,0,0,5,2,2
4266,4740,4737,3962,3795,3603
419,397,399,378,370,389
20,27,31,29,32,24
671,660,651,515,535,429
49,78,73,53,54,61
1669,1865,1756,1432,1399,1317
2050,2067,1966,1611,1603,1562
4,9,5,2,5,5
1235,1323,1343,1037,970,891
757,749,750,609,703,557
159,168,164,143,120,106
2059,2042,1982,1731,1815,1507
14565,14403,14916,16500,16760,16232
6,3,6,4,5,1
13,6,7,7,2,3
17,23,28,9,12,9
0,5,2,2,0,1
0,0,0,0,0,0
0,2,2,0,0,2
11,22,20,14,6,4
0,0,0,0,0,0
4,2,0,0,1,3
585,636,553,449,466,499
19,34,23,28,23,26
832,873,933,914,900,767
92,116,83,102,85,105
11,15,12,14,11,5
1660,1553,1541,4864,4531,4265
174,156,186,177,173,177
103,104,91,47,70,41
4210,4587,4471,3835,4187,4033
1012,1048,1042,1111,1089,1047
44,41,36,49,47,44
657,697,639,515,533,469
0,0,0,0,0,0
2,1,0,0,2,0
2,6,0,2,5,0
0,1,0,0,1,0
1094,1049,1065,951,856,898
140,132,106,102,83,90
2,4,0,0,2,0
3,26,10,16,4,20
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,5,2
8,20,2,19,35,20
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,0
427,471,427,478,579,499
1080,1189,1159,587,682,662
0,0,2,4,2,1
0,0,0,0,0,0
0,0,0,0,0,0
1418,1660,1479,1742,1718,1809
596,706,628,558,549,581
22,24,19,30,31,17
0,0,0,0,0,0
0,0,0,0,0,0
641,652,554,536,510,484
5,2,2,2,3,2
17,19,15,25,19,20
1597,1789,1770,1697,1666,1599
1572,1573,1566,1697,1495,1541
186,213,216,137,157,157
25,24,19,9,22,9
631,686,631,626,671,643
6,2,12,0,5,0
0,0,4,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
0,2,4,0,0,1
0,0,0,1,0,0
